I  GPSU 4.15
M E   Ord Srvy Grt Britn 075  5.7360400E+02  1.1960020E-05 375 -111 431
U  BRITISH GRID

F ID---- Zn East  North T  Alt(m)   Comment
W EW2558 NY 47122 09070 C     666.0 Adam Seat (xN,B)
W EW2388 NY 23670 08526 C     785.0 Allen Crags (Hew,N,W,B)
W EW3826 NY 41430 14698 C     565.0 Angletarn Pike South Top (B)
W EW2579 NY 41330 14830 C     567.0 Angletarn Pikes [Angletarn Pike North Top] (W,5,B)
W EW2460 NY 20695 19775 C     581.0 Ard Crags (W,5,B,Hu)
W EW2483 NY 29800 15700 C     479.0 Armboth Fell (W)
W EW3761 NY 29677 15963 C     479.0 Armboth Fell (Birkett) (B)
W EW2614 NY 39358 14974 C     433.0 Arnison Crag (W,B)
W EW3896 SD 31103 91125 C     322.0 Arnsbarrow Hill (B)
W EW3321 SD 45601 77484 C     159.0 Arnside Knott (Ma)
W EW2584 NY 46102 20650 C     533.0 Arthur's Pike (W,B)
W EW2333 NY 26622 30740 C     673.0 Bakestall (W,B)
W EW3837 NY 48706 16484 C     489.0 Bampton Fell (B)
W EW3764 NY 11609 17408 C     456.0 Banna Fell (B)
W EW2332 NY 33527 29026 C     683.0 Bannerdale Crags (Hew,N,W,B)
W EW2605 NY 51594 05246 C     493.0 Bannisdale Fell - Long Crag (WO,B)
W EW2486 NY 21465 26740 C     468.0 Barf (W,B)
W EW2488 NY 22710 21820 C     455.0 Barrow (W,B)
W EW2439 NY 22516 11465 C     646.0 Base Brown (Hew,N,W,B)
W EW2607 NY 40315 05145 C     488.0 Baystones [Wansfell] (Ma,W)
W EW2686 SD 27810 90710 C     255.0 Beacon Fell (WO,Hu)
W EW2595 NY 42791 17058 C     509.0 Beda Fell [Beda Head] (W,5,B)
W EW3567 NY 29821 14318 C     558.0 Bell Crags [Long Moss] [Blea Tarn Fell] (5,B)
W EW5292 SD 54873 94158 C     319.0 Benson Knott (Hu)
W EW3894 SD 17663 93213 C     331.0 Bigert (B)
W EW2703 SD 36500 84000 C     193.0 Bigland Barrow (WO)
W EW2351 NY 22513 35527 C     447.0 Binsey (Ma,W,B)
W EW3897 SD 39533 89148 C     318.0 Birch Fell (B)
W EW3680 NY 40272 18274 C     512.0 Birk Fell (B)
W EW3871 NY 29600 01700 C     525.0 Birk Fell Man - Birk Fell (B)
W EW3893 SD 18644 97868 C     338.0 Birker Fell - Great Crag (B)
W EW3875 SD 20492 97462 C     444.0 Birker Fell - White How (B)
W EW3819 NY 36452 19808 C     725.0 Birkett Fell (B)
W EW2549 NY 36348 15977 C     718.0 Birkhouse Moor (sHew,N,W,B)
W EW2570 NY 38016 14362 C     622.0 Birks (sHew,N,W,B)
W EW5294 SD 36300 92600 C     268.0 Black Brows (Hu)
W EW2646 SD 13551 85488 C     600.0 Black Combe (Ma,sHew,WO,5,B)
W EW3869 SD 13554 85176 C     587.0 Black Combe South Top (B)
W EW3565 NY 25552 08068 C     588.0 Black Crags (Mickleden) (5,B)
W EW2508 NY 34045 01638 C     323.0 Black Fell (W,B,Hu)
W EW2641 NY 28287 00752 C     745.0 Black Sails (Hew,N,B)
W EW2462 NY 11040 19676 C     573.0 Blake Fell (Ma,W,5,B)
W EW3745 NY 28527 03901 C     535.0 Blake Rigg (Little Langdale) (B)
W EW3881 NY 30099 01188 C     423.0 Blake Rigg (Tiberthwaite) (B)
W EW3792 NY 06988 13516 C     389.0 Blakeley Raise (B)
W EW2687 SD 26075 88395 C     248.0 Blawith Knott (WO)
W EW2470 NY 30078 07820 C     541.0 Blea Rigg (W,B)
W EW2458 NY 28558 19580 C     590.0 Bleaberry Fell (W,5,B)
W EW2323 NY 32433 28297 C     845.0 Blencathra - Atkinson Pike (N,B)
W EW3697 NY 32900 27700 C     742.0 Blencathra - Doddick Fell (B)
W EW2322 NY 31785 27362 C     851.0 Blencathra - Gategill Fell Top (N,B)
W EW2320 NY 32341 27738 C     868.0 Blencathra - Hallsfell Top (Ma,Hew,N,W,B)
W EW3700 NY 33200 27900 C     682.0 Blencathra - Scales Fell (B)
W EW2324 NY 31200 27024 C     805.0 Blencathra [Knowe Crags][Blease Fell] (xN,B)
W EW2366 NY 22420 07825 C     901.0 Blunt Top (xN)
W EW2506 NY 17700 03400 C     337.0 Boat How (WO,B)
W EW2588 NY 45304 20044 C     524.0 Bonscale Pike (W,B)
W EW3747 NY 22823 01890 C     522.0 Border End (B)
W EW2365 NY 24473 06450 C     902.0 Bowfell (sMa,Hew,N,W,B,Hu)
W EW2370 NY 24455 07000 C     866.0 Bowfell North Top (N)
W EW3805 NY 11216 15548 C     333.0 Bowness Knott (B)
W EW2329 NY 33338 30541 C     702.0 Bowscale Fell (Hew,N,W,B)
W EW3856 NY 39300 21100 C     373.0 Bracken How (B)
W S10067 NY 18200 07500 C      70.0 Brackenclose carpark (S)
W EW3890 SD 30304 99792 C     370.0 Brackeny Crag (B)
W EW2344 NY 28871 35158 C     586.0 Brae Fell (W,B)
W EW2416 NY 21486 11933 C     715.0 Brandreth (Hew,N,W,B)
W EW2550 NY 47800 09980 C     713.0 Branstree (Hew,N,W,B,Hu)
W EW2555 NY 48762 10347 C     673.0 Branstree NE Top [East Top][High Howes (Mardale)] (sHew,N,B)
W EW2701 SD 40970 96145 C     191.0 Brant Fell (WO)
W EW2636 SD 27074 98562 C     796.0 Brim Fell (sHew,N,W,B)
W EW2363 NY 21858 07555 C     934.0 Broad Crag (Hew,N,B)
W EW3888 SD 19498 97846 C     372.0 Broad Crag - Birker Fell (B)
W EW3695 NY 26106 29832 C     831.0 Broad End (B)
W EW3892 SD 22026 94286 C     343.0 Brock Barrow (B)
W EW2582 NY 41671 13664 C     561.0 Brock Crags (W,B)
W EW2480 NY 19548 27042 C     511.0 Broom Fell (W,B)
W EW3823 NY 32764 17648 C     610.0 Brown Crag (B)
W EW3829 NY 37760 19414 C     551.0 Brown Hills (B)
W EW3807 NY 11618 15822 C     322.0 Brown How (Ennerdale) (B)
W EW3832 NY 48715 12200 C     529.0 Brown Howe (Mardale) (B)
W EW2642 SD 26088 96602 C     682.0 Brown Pike (xN,B)
W EW3763 NY 30525 14604 C     463.0 Brown Rigg (B)
W EW3844 NY 44300 17362 C     444.0 Brownthwaite Crag (B)
W EW2616 NY 48441 00625 C     427.0 Brunt Knott (WO,B)
W EW2648 SD 15188 91046 C     549.0 Buck Barrow (WO,5,B)
W EW3736 NY 25278 07760 C     606.0 Buck Pike (Mickleden) (B)
W EW3865 SD 26232 97224 C     744.0 Buck Pike - Seathwaite Fell (B)
W EW2497 NY 13589 06076 C     405.0 Buckbarrow (W,B)
