I  GPSU 4.15
M E   Ord Srvy Grt Britn 075  5.7360400E+02  1.1960020E-05 375 -111 431
U  BRITISH GRID

F ID---- Zn East  North T  Alt(m)   Comment
W S10088 NY 67800 42400 C     460.0 A686 top of pass roadside (S)
W S10094 NY 70200 48500 C     260.0 A689 Gilderdale Burn bridge layby (S)
W EW3583 NY 75000 43745 C     580.0 Alston Moor [Middle Fell] (5)
W EW2771 SD 66210 94630 C     605.0 Arant Haw (sHew,5)
W EW2725 NY 80282 00269 C     695.0 Archy Styrigg [Gregory Chapel] (sHew,N)
W EW2802 SD 72068 88613 C     556.0 Aye Gill Pike (Ma,5)
W EW3599 NY 72430 50995 C     524.0 Ayle Common (5)
W S10102 NY 81174 04078 C     510.0 B6270 summit layby (S)
W S10092 NY 78400 35400 C     590.0 B6277 roadside (S)
W S10116 NY 78118 35726 C     590.0 B6277 summit near cattle grid (S)
W EW2723 NY 72592 27699 C     699.0 Backstone Edge (sHew,N)
W EW5312 SD 65100 80900 C     437.0 Barbon Low Fell (Hu)
W EW2730 SD 74082 91645 C     678.0 Baugh Fell - Tarn Rigg Hill (Ma,Hew,N)
W EW2776 NY 52130 31380 C     286.0 Beacon Hill (sMa,Hu)
W EW2763 NY 76285 35075 C     620.0 Bellbeaver Rigg (sHew,N)
W EW3677 NY 66930 43050 C     609.0 Benty Hill (ssHew)
W EW2764 NY 87530 24300 C     619.0 Bink Moss (Hew,N)
W EW2799 SD 91878 76369 C     610.0 Birks Fell (Ma,Hew,N)
W EW2744 NY 64820 44407 C     664.0 Black Fell (Hew,N)
W EW2753 NY 90615 33475 C     645.0 Black Hill (xN)
W EW3626 SD 85260 77260 C     510.0 Blaydike Moss (5)
W EW5307 NY 49600 43300 C     242.0 Blaze Fell (Hu)
W EW3623 SD 77265 82585 C     535.0 Blea Moor (5,Hu)
W EW3578 NY 59668 49529 C     591.0 Blotting Raise [Croglin Fell] (5)
W EW5540 NZ 35029 60194 C      90.0 Boldon Hills (CoU)
W EW3594 NY 94620 44905 C     541.0 Boltslaw West [Bolt's Law] (5)
W EW2739 SD 66821 96456 C     672.0 Bram Rigg Top (N)
W EW3611 SD 99560 79915 C     584.0 Brown Haw (5)
W EW3603 NY 70575 27515 C     519.0 Brownber Hill (5)
W EW3596 NY 80246 50679 C     533.0 Brownley Hill (5)
W EW2782 SD 96079 78792 C     702.0 Buckden Pike (Ma,Hew,N)
W EW2765 NY 70590 37340 C     610.0 Bullman Hills (N)
W EW2769 NY 70495 37090 C     614.0 Bullman Hills South Top (xN)
W EW5512 SE 14060 44545 C     340.0 Burley Moor (CoU)
W S10095 NY 84800 38800 C     410.0 Burnhope Reservoir dam (S)
W EW2714 NY 78405 37625 C     747.0 Burnhope Seat (Ma,Hew,N,CoH)
W EW2760 SD 65900 98079 C     623.0 Bush Howe (N)
W EW2737 SD 67072 96002 C     674.0 Calders (Hew,N)
W EW2797 SD 66451 85623 C     609.0 Calf Top (Ma,sHew,5)
W EW3627 SD 83910 80945 C     503.0 Cam Rakes [Oughtershaw Common] [Cocklee Fell] (5,Hu)
W EW3621 SD 65650 84150 C     538.0 Castle Knott (5)
W EW2722 NY 87590 34600 C     703.0 Chapelfell Top (sMa,Hew,N,Hu)
W S10105 SD 74500 69200 C     160.0 Clapham village car pk (S)
W EW2761 NY 60572 55633 C     621.0 Cold Fell (Ma,Hew,N)
W EW3605 NZ 01621 41789 C     516.0 Collier Law (5)
W S10115 NY 81085 30913 C     500.0 Cow Green Reservoir car park (S)
W EW3682 SD 99311 58837 C     507.8 Cracoe Fell (Ma,5)
W EW2707 NY 68715 34330 C     893.0 Cross Fell (Ma,Hew,N)
W S10099 SD 69800 96900 C     190.0 Cross Keys Hotel layby (S)
W EW5301 NY 56400 52000 C     483.0 Cumrew Fell (Hu)
W EW3595 NY 64770 36790 C     539.0 Cuns Fell (5)
W EW5306 NZ 10718 59204 C     259.0 Currock Hill (Hu,CoA,CoU)
W EW2795 SD 88453 72796 C     624.0 Darnbrook Fell (Hew,N)
W EW3619 SE 05815 78305 C     546.0 Dead Man's Hill (5)
W EW2717 NY 79370 39910 C     710.0 Dead Stones (Hew,N)
W EW5496 NZ 20637 24543 C     218.0 Dere Street (CoU)
W EW2787 SD 84095 84588 C     668.0 Dodd Fell Hill (Ma,Hew,N)
W EW2796 SD 87373 86707 C     614.0 Drumaldrace (Hew,N)
W EW3586 NY 90680 44775 C     566.0 Dry Rigg [Redburn Common] (5)
W EW2775 NY 69990 26630 C     481.0 Dufton Pike (Ma)
W S10089 NY 69000 25000 C     180.0 Dufton village roadside (S)
W EW2754 SD 64960 98185 C     640.0 Fell Head (Hew,N)
W EW2724 NY 87702 33335 C     696.0 Fendrith Hill (N)
W EW2757 NY 64315 40654 C     634.0 Fiend's Fell (sHew,N)
W EW2767 NY 77065 42255 C     614.0 Flinty Fell (Hew,N)
W S10093 NY 58800 58500 C     230.0 Fork in rd nr Clesketts roadside (S)
W EW2788 SD 86415 71575 C     668.0 Fountains Fell (Ma,Hew,N)
W EW2789 SD 86891 70779 C     662.0 Fountains Fell South Top (N)
W EW2793 SD 68792 79307 C     627.0 Gragareth (Hew,N)
W EW2784 SD 70085 83584 C     687.0 Great Coum (Ma,Hew,N)
W EW2708 NY 71030 32165 C     848.0 Great Dun Fell (Hew,N)
W EW3606 NY 86753 14464 C     516.0 Great Knipe (5)
W EW2786 SD 78860 87158 C     672.0 Great Knoutberry Hill (Ma,Hew,N)
W EW3582 NY 97008 02691 C     583.0 Great Pinseat (5)
W EW2716 SD 84864 97288 C     716.0 Great Shunner Fell (Ma,Hew,N)
W EW2721 NY 82363 35934 C     708.0 Great Stony Hill (Hew,N)
W EW2781 SE 00204 73913 C     704.0 Great Whernside (Ma,Hew,N)
W EW2772 NY 69868 01084 C     605.0 Green Bell (sHew,5)
W EW2792 SD 70161 82020 C     628.0 Green Hill (sHew,N,CoA,CoU)
W EW2747 NY 66480 47604 C     656.0 Grey Nag (Hew,N)
W EW3616 SD 86800 64325 C     553.0 Grizedales (5,Hu)
W EW3608 NY 64725 00615 C     500.0 Hand Lake (5)
W EW3592 NY 74987 48758 C     546.0 Hard Rigg (5)
W S10104 SD 86600 91200 C     230.0 Hardraw village roadside (S)
W EW3624 SE 02805 84295 C     535.0 Harland Hill (5)
W EW3602 NY 72107 00239 C     521.0 Harter Fell (5,Hu)
W EW2715 NY 79516 36292 C     718.0 Harwood Common (N)
W S10109 SD 87700 89800 C     240.0 Hawes Info Centre carpk (S)
W EW3584 SD 67270 99670 C     578.0 Hazelgill Knott (5)
