H  SOFTWARE NAME & VERSION
I  GPSU 4.04,
S SymbolSet=0

H : Data Source Is Ordnance Survey
H : Please Acknowledge If Re-Posting
  - Pub = Public Access (Not Guaranteed)
  - Pri = On Private Land - Permission Reqd
  - Pil = Pillar Is Intact
  - Stu = Only Stump / Base Remains
  - Rem = No Sign Of Pillar
  - Unk = State Of Pillar Unknown
  - Source Of Access Etc Data
  - Pass = Os Passive Stns
  - Int = Internet Trawl
  - Nm = Not On Current 50K Map
  - Mh = Height Is From Map
  - Mc = Coordinates Are From Map
  

H R DATUM
M E   Ord Srvy Grt Britn,075, 5.7360400E+02, 1.1960020E-05,375,-111,431

H  COORDINATE SYSTEM
U  BRITISH GRID

F,ID----,Zn,East ,North,Alt(m)  ,Comment
W,600001,NN,66068,77600,   936.0,A' Bhuideaneach Bheag
W,600002,TL,21626,76027,    48.0,Abbots Ripton
W,600003,SY,55659,86494,   216.0,Abbotsbury Castle
W,600004,SO,08444,50776,   451.0,Aberedw Hill
W,600005,SH,34639,68535,    42.0,Aberffraw pil pri s7328 K Stevens 06 04
W,600006,NN,98229,15804,    40.0,Aberuthven S6100 Pub Pil Pass 02
W,600007,SN,59254,83341,   148.0,Aberystwyth
W,600008,NG,76809,56373,   175.0,A'bhaintir
W,600009,TL,51949,46744,    78.0,Abington Park
W,600010,SK,18043,79421,   417.0,Abney Moorpil pri s4190 K Stevens
W,600011,NN,02334,24873,   277.0,Achadh
W,600012,NS,12206,70262,   346.0,Achafour
W,600013,NR,79384,63632,   175.0,Achaglachgach
W,600014,NM,66651,92281,    88.0,Achaidh Mhoir S9804 T Courtney
W,600015,ND,24468,48762,   108.0,Achalibster
W,600016,NM,94379,40880,    68.0,Achanrear
W,600017,NN,15616,94265,   805.0,Achnasaul Geal Charn
W,600018,NH,48549,52707,    72.0,Achnasoul
W,600019,NH,47836,32191,   349.0,Achtemarack
W,600020,SO,77326,98156,   100.0,Ackleton
W,600021,SO,50583,32997,   276.0,Aconbury Camp
W,600022,TF,12112,96466,   168.0,Acre Pub Pil Pass S2995 02
W,600023,SJ,93990,18042,    99.0,Acton Trussell pri pil S1968 K Stevens 04 04
W,600024,SD,94601,88126,   477.0,Addlebrough
W,600025,SX,98987,88164,    53.0,Addlepool
W,600026,TF,57757,25022,     6.0,Admiralty Point
W,600027,SU,70334,99071,   144.0,Adwell Cop Pri Pil Jd 02
W,600028,SO,47945,47653,   119.0,Adzor Bank
W,600029,SU,67391,03787,     4.0,Aerodrome
W,600030,TL,12533,67159,    64.0,Agden Hill
W,600031,NX,01911,99829,   339.0,Ailsa Craig
W,600032,SD,76177,09367,   146.0,Ainsworth Old Hall
W,600033,NF,76098,54476,    11.0,Aird
W,600034,NG,86093,55031,    54.0,Aird Mhor
W,600035,NM,92444,45727,   177.0,Airds Hill
W,600036,TL,24002,64784,    53.0,Airfield Land
W,600037,NX,36775,51723,    98.0,Airlies
W,600038,NZ,64428,16745,   219.0,Airy Hill
W,600039,HU,51298,44781,    66.0,Aith Ness
W,600040,ND,30496,89560,    58.0,Aithsdale
W,600041,HY,33550,07995,   269.0,Akla
